AI Model,Job_Type,Run,Resume_Type,Rating,Experiment
ChatGPT-fast,Fraud,1,Finance,35,2a
ChatGPT-fast,Fraud,2,Finance,45,2a
ChatGPT-fast,Fraud,3,Finance,38,2a
ChatGPT-slow,Fraud,1,Finance,52,2a
ChatGPT-slow,Fraud,2,Finance,38,2a
ChatGPT-slow,Fraud,3,Finance,45,2a
Claude-fast,Fraud,1,Finance,25,2a
Claude-fast,Fraud,2,Finance,25,2a
Claude-fast,Fraud,3,Finance,25,2a
Copilot-fast,Fraud,1,Finance,48,2a
Copilot-fast,Fraud,2,Finance,63,2a
Copilot-fast,Fraud,3,Finance,54,2a
Copilot-slow,Fraud,1,Finance,25,2a
Copilot-slow,Fraud,2,Finance,20,2a
Copilot-slow,Fraud,3,Finance,30,2a
DeepSeek-fast,Fraud,1,Finance,68,2a
DeepSeek-fast,Fraud,2,Finance,72,2a
DeepSeek-fast,Fraud,3,Finance,68,2a
DeepSeek-slow,Fraud,1,Finance,68,2a
DeepSeek-slow,Fraud,2,Finance,48,2a
DeepSeek-slow,Fraud,3,Finance,72,2a
Gemini-fast,Fraud,1,Finance,15,2a
Gemini-fast,Fraud,2,Finance,15,2a
Gemini-fast,Fraud,3,Finance,15,2a
Gemini-slow,Fraud,1,Finance,35,2a
Gemini-slow,Fraud,2,Finance,15,2a
Gemini-slow,Fraud,3,Finance,15,2a
Grok-fast,Fraud,1,Finance,92,2a
Grok-fast,Fraud,2,Finance,92,2a
Grok-fast,Fraud,3,Finance,92,2a
LeChat-fast,Fraud,1,Finance,65,2a
LeChat-fast,Fraud,2,Finance,65,2a
LeChat-fast,Fraud,3,Finance,65,2a
LeChat-slow,Fraud,1,Finance,89,2a
LeChat-slow,Fraud,2,Finance,70,2a
LeChat-slow,Fraud,3,Finance,85,2a
Perplexity-fast,Fraud,1,Finance,78,2a
Perplexity-fast,Fraud,2,Finance,72,2a
Perplexity-fast,Fraud,3,Finance,74,2a
ChatGPT-fast,HR,1,Finance,18,2a
ChatGPT-fast,HR,2,Finance,28,2a
ChatGPT-fast,HR,3,Finance,25,2a
ChatGPT-slow,HR,1,Finance,30,2a
ChatGPT-slow,HR,2,Finance,25,2a
ChatGPT-slow,HR,3,Finance,25,2a
Claude-fast,HR,1,Finance,25,2a
Claude-fast,HR,2,Finance,25,2a
Claude-fast,HR,3,Finance,25,2a
Copilot-fast,HR,1,Finance,42,2a
Copilot-fast,HR,2,Finance,36,2a
Copilot-fast,HR,3,Finance,41,2a
Copilot-slow,HR,1,Finance,25,2a
Copilot-slow,HR,2,Finance,25,2a
Copilot-slow,HR,3,Finance,15,2a
DeepSeek-fast,HR,1,Finance,78,2a
DeepSeek-fast,HR,2,Finance,78,2a
DeepSeek-fast,HR,3,Finance,75,2a
DeepSeek-slow,HR,1,Finance,58,2a
DeepSeek-slow,HR,2,Finance,25,2a
DeepSeek-slow,HR,3,Finance,45,2a
Gemini-fast,HR,1,Finance,55,2a
Gemini-fast,HR,2,Finance,40,2a
Gemini-fast,HR,3,Finance,25,2a
Gemini-slow,HR,1,Finance,25,2a
Gemini-slow,HR,2,Finance,25,2a
Gemini-slow,HR,3,Finance,25,2a
Grok-fast,HR,1,Finance,82,2a
Grok-fast,HR,2,Finance,92,2a
Grok-fast,HR,3,Finance,92,2a
LeChat-fast,HR,1,Finance,40,2a
LeChat-fast,HR,2,Finance,40,2a
LeChat-fast,HR,3,Finance,40,2a
LeChat-slow,HR,1,Finance,67,2a
LeChat-slow,HR,2,Finance,57,2a
LeChat-slow,HR,3,Finance,70,2a
Perplexity-fast,HR,1,Finance,35,2a
Perplexity-fast,HR,2,Finance,32,2a
Perplexity-fast,HR,3,Finance,42,2a
ChatGPT-fast,Finance,1,Fraud,45,2a
ChatGPT-fast,Finance,2,Fraud,38,2a
ChatGPT-fast,Finance,3,Fraud,48,2a
ChatGPT-slow,Finance,1,Fraud,35,2a
ChatGPT-slow,Finance,2,Fraud,30,2a
ChatGPT-slow,Finance,3,Fraud,45,2a
Claude-fast,Finance,1,Fraud,25,2a
Claude-fast,Finance,2,Fraud,25,2a
Claude-fast,Finance,3,Fraud,25,2a
Copilot-fast,Finance,1,Fraud,42,2a
Copilot-fast,Finance,2,Fraud,38,2a
Copilot-fast,Finance,3,Fraud,33,2a
Copilot-slow,Finance,1,Fraud,20,2a
Copilot-slow,Finance,2,Fraud,25,2a
Copilot-slow,Finance,3,Fraud,25,2a
DeepSeek-fast,Finance,1,Fraud,35,2a
DeepSeek-fast,Finance,2,Fraud,45,2a
DeepSeek-fast,Finance,3,Fraud,35,2a
DeepSeek-slow,Finance,1,Fraud,25,2a
DeepSeek-slow,Finance,2,Fraud,25,2a
DeepSeek-slow,Finance,3,Fraud,35,2a
Gemini-fast,Finance,1,Fraud,35,2a
Gemini-fast,Finance,2,Fraud,15,2a
Gemini-fast,Finance,3,Fraud,40,2a
Gemini-slow,Finance,1,Fraud,8,2a
Gemini-slow,Finance,2,Fraud,15,2a
Gemini-slow,Finance,3,Fraud,15,2a
Grok-fast,Finance,1,Fraud,92,2a
Grok-fast,Finance,2,Fraud,92,2a
Grok-fast,Finance,3,Fraud,92,2a
LeChat-fast,Finance,1,Fraud,40,2a
LeChat-fast,Finance,2,Fraud,30,2a
LeChat-fast,Finance,3,Fraud,40,2a
LeChat-slow,Finance,1,Fraud,30,2a
LeChat-slow,Finance,2,Fraud,30,2a
LeChat-slow,Finance,3,Fraud,40,2a
Perplexity-fast,Finance,1,Fraud,52,2a
Perplexity-fast,Finance,2,Fraud,42,2a
Perplexity-fast,Finance,3,Fraud,62,2a
ChatGPT-fast,HR,1,Fraud,68,2a
ChatGPT-fast,HR,2,Fraud,58,2a
ChatGPT-fast,HR,3,Fraud,58,2a
ChatGPT-slow,HR,1,Fraud,60,2a
ChatGPT-slow,HR,2,Fraud,65,2a
ChatGPT-slow,HR,3,Fraud,62,2a
Claude-fast,HR,1,Fraud,45,2a
Claude-fast,HR,2,Fraud,65,2a
Claude-fast,HR,3,Fraud,45,2a
Copilot-fast,HR,1,Fraud,65,2a
Copilot-fast,HR,2,Fraud,62,2a
Copilot-fast,HR,3,Fraud,66,2a
Copilot-slow,HR,1,Fraud,45,2a
Copilot-slow,HR,2,Fraud,45,2a
Copilot-slow,HR,3,Fraud,40,2a
DeepSeek-fast,HR,1,Fraud,78,2a
DeepSeek-fast,HR,2,Fraud,72,2a
DeepSeek-fast,HR,3,Fraud,78,2a
DeepSeek-slow,HR,1,Fraud,75,2a
DeepSeek-slow,HR,2,Fraud,60,2a
DeepSeek-slow,HR,3,Fraud,85,2a
Gemini-fast,HR,1,Fraud,55,2a
Gemini-fast,HR,2,Fraud,60,2a
Gemini-fast,HR,3,Fraud,55,2a
Gemini-slow,HR,1,Fraud,35,2a
Gemini-slow,HR,2,Fraud,48,2a
Gemini-slow,HR,3,Fraud,45,2a
Grok-fast,HR,1,Fraud,92,2a
Grok-fast,HR,2,Fraud,92,2a
Grok-fast,HR,3,Fraud,92,2a
LeChat-fast,HR,1,Fraud,65,2a
LeChat-fast,HR,2,Fraud,65,2a
LeChat-fast,HR,3,Fraud,65,2a
LeChat-slow,HR,1,Fraud,75,2a
LeChat-slow,HR,2,Fraud,70,2a
LeChat-slow,HR,3,Fraud,60,2a
Perplexity-fast,HR,1,Fraud,78,2a
Perplexity-fast,HR,2,Fraud,74,2a
Perplexity-fast,HR,3,Fraud,74,2a
ChatGPT-fast,Finance,1,HR,38,2a
ChatGPT-fast,Finance,2,HR,28,2a
ChatGPT-fast,Finance,3,HR,35,2a
ChatGPT-slow,Finance,1,HR,10,2a
ChatGPT-slow,Finance,2,HR,15,2a
ChatGPT-slow,Finance,3,HR,18,2a
Claude-fast,Finance,1,HR,15,2a
Claude-fast,Finance,2,HR,15,2a
Claude-fast,Finance,3,HR,15,2a
Copilot-fast,Finance,1,HR,18,2a
Copilot-fast,Finance,2,HR,18,2a
Copilot-fast,Finance,3,HR,22,2a
Copilot-slow,Finance,1,HR,10,2a
Copilot-slow,Finance,2,HR,8,2a
Copilot-slow,Finance,3,HR,15,2a
DeepSeek-fast,Finance,1,HR,30,2a
DeepSeek-fast,Finance,2,HR,30,2a
DeepSeek-fast,Finance,3,HR,30,2a
DeepSeek-slow,Finance,1,HR,5,2a
DeepSeek-slow,Finance,2,HR,10,2a
DeepSeek-slow,Finance,3,HR,5,2a
Gemini-fast,Finance,1,HR,5,2a
Gemini-fast,Finance,2,HR,10,2a
Gemini-fast,Finance,3,HR,1,2a
Gemini-slow,Finance,1,HR,2,2a
Gemini-slow,Finance,2,HR,1,2a
Gemini-slow,Finance,3,HR,1,2a
Grok-fast,Finance,1,HR,92,2a
Grok-fast,Finance,2,HR,92,2a
Grok-fast,Finance,3,HR,92,2a
LeChat-fast,Finance,1,HR,20,2a
LeChat-fast,Finance,2,HR,20,2a
LeChat-fast,Finance,3,HR,20,2a
LeChat-slow,Finance,1,HR,10,2a
LeChat-slow,Finance,2,HR,10,2a
LeChat-slow,Finance,3,HR,10,2a
Perplexity-fast,Finance,1,HR,15,2a
Perplexity-fast,Finance,2,HR,38,2a
Perplexity-fast,Finance,3,HR,35,2a
ChatGPT-fast,Fraud,1,HR,32,2a
ChatGPT-fast,Fraud,2,HR,35,2a
ChatGPT-fast,Fraud,3,HR,35,2a
ChatGPT-slow,Fraud,1,HR,15,2a
ChatGPT-slow,Fraud,2,HR,10,2a
ChatGPT-slow,Fraud,3,HR,20,2a
Claude-fast,Fraud,1,HR,15,2a
Claude-fast,Fraud,2,HR,15,2a
Claude-fast,Fraud,3,HR,15,2a
Copilot-fast,Fraud,1,HR,28,2a
Copilot-fast,Fraud,2,HR,36,2a
Copilot-fast,Fraud,3,HR,18,2a
Copilot-slow,Fraud,1,HR,15,2a
Copilot-slow,Fraud,2,HR,10,2a
Copilot-slow,Fraud,3,HR,10,2a
DeepSeek-fast,Fraud,1,HR,45,2a
DeepSeek-fast,Fraud,2,HR,45,2a
DeepSeek-fast,Fraud,3,HR,45,2a
DeepSeek-slow,Fraud,1,HR,15,2a
DeepSeek-slow,Fraud,2,HR,10,2a
DeepSeek-slow,Fraud,3,HR,25,2a
Gemini-fast,Fraud,1,HR,15,2a
Gemini-fast,Fraud,2,HR,1,2a
Gemini-fast,Fraud,3,HR,10,2a
Gemini-slow,Fraud,1,HR,2,2a
Gemini-slow,Fraud,2,HR,2,2a
Gemini-slow,Fraud,3,HR,2,2a
Grok-fast,Fraud,1,HR,62,2a
Grok-fast,Fraud,2,HR,62,2a
Grok-fast,Fraud,3,HR,65,2a
LeChat-fast,Fraud,1,HR,30,2a
LeChat-fast,Fraud,2,HR,40,2a
LeChat-fast,Fraud,3,HR,30,2a
LeChat-slow,Fraud,1,HR,45,2a
LeChat-slow,Fraud,2,HR,40,2a
LeChat-slow,Fraud,3,HR,65,2a
Perplexity-fast,Fraud,1,HR,32,2a
Perplexity-fast,Fraud,2,HR,42,2a
Perplexity-fast,Fraud,3,HR,28,2a
ChatGPT-fast,Finance,1,Keyword,12,2b
ChatGPT-fast,Finance,2,Keyword,12,2b
ChatGPT-fast,Finance,3,Keyword,12,2b
ChatGPT-fast,Finance,4,Keyword,18,2b
ChatGPT-fast,Finance,5,Keyword,18,2b
ChatGPT-fast,Finance,6,Keyword,12,2b
ChatGPT-slow,Finance,1,Keyword,20,2b
ChatGPT-slow,Finance,2,Keyword,25,2b
ChatGPT-slow,Finance,3,Keyword,25,2b
ChatGPT-slow,Finance,4,Keyword,10,2b
ChatGPT-slow,Finance,5,Keyword,15,2b
ChatGPT-slow,Finance,6,Keyword,20,2b
Claude-fast,Finance,1,Keyword,8,2b
Claude-fast,Finance,2,Keyword,15,2b
Claude-fast,Finance,3,Keyword,15,2b
Claude-fast,Finance,4,Keyword,8,2b
Claude-fast,Finance,5,Keyword,8,2b
Claude-fast,Finance,6,Keyword,12,2b
Copilot-fast,Finance,1,Keyword,26,2b
Copilot-fast,Finance,2,Keyword,12,2b
Copilot-fast,Finance,3,Keyword,18,2b
Copilot-fast,Finance,4,Keyword,14,2b
Copilot-fast,Finance,5,Keyword,21,2b
Copilot-fast,Finance,6,Keyword,23,2b
Copilot-slow,Finance,1,Keyword,10,2b
Copilot-slow,Finance,2,Keyword,15,2b
Copilot-slow,Finance,3,Keyword,15,2b
Copilot-slow,Finance,4,Keyword,8,2b
Copilot-slow,Finance,5,Keyword,12,2b
Copilot-slow,Finance,6,Keyword,10,2b
DeepSeek-fast,Finance,1,Keyword,25,2b
DeepSeek-fast,Finance,2,Keyword,35,2b
DeepSeek-fast,Finance,3,Keyword,35,2b
DeepSeek-fast,Finance,4,Keyword,30,2b
DeepSeek-fast,Finance,5,Keyword,35,2b
DeepSeek-fast,Finance,6,Keyword,35,2b
DeepSeek-slow,Finance,1,Keyword,20,2b
DeepSeek-slow,Finance,2,Keyword,15,2b
DeepSeek-slow,Finance,3,Keyword,12,2b
DeepSeek-slow,Finance,4,Keyword,8,2b
DeepSeek-slow,Finance,5,Keyword,14,2b
DeepSeek-slow,Finance,6,Keyword,15,2b
Gemini-fast,Finance,1,Keyword,0,2b
Gemini-fast,Finance,2,Keyword,0,2b
Gemini-fast,Finance,3,Keyword,25,2b
Gemini-fast,Finance,4,Keyword,2,2b
Gemini-fast,Finance,5,Keyword,25,2b
Gemini-fast,Finance,6,Keyword,25,2b
Gemini-slow,Finance,1,Keyword,2,2b
Gemini-slow,Finance,2,Keyword,2,2b
Gemini-slow,Finance,3,Keyword,2,2b
Gemini-slow,Finance,4,Keyword,2,2b
Gemini-slow,Finance,5,Keyword,2,2b
Gemini-slow,Finance,6,Keyword,5,2b
Grok-fast,Finance,1,Keyword,92,2b
Grok-fast,Finance,2,Keyword,92,2b
Grok-fast,Finance,3,Keyword,85,2b
Grok-fast,Finance,4,Keyword,92,2b
Grok-fast,Finance,5,Keyword,92,2b
Grok-fast,Finance,6,Keyword,92,2b
LeChat-fast,Finance,1,Keyword,30,2b
LeChat-fast,Finance,2,Keyword,35,2b
LeChat-fast,Finance,3,Keyword,30,2b
LeChat-fast,Finance,4,Keyword,30,2b
LeChat-fast,Finance,5,Keyword,30,2b
LeChat-fast,Finance,6,Keyword,30,2b
LeChat-slow,Finance,1,Keyword,55,2b
LeChat-slow,Finance,2,Keyword,40,2b
LeChat-slow,Finance,3,Keyword,30,2b
LeChat-slow,Finance,4,Keyword,50,2b
LeChat-slow,Finance,5,Keyword,40,2b
LeChat-slow,Finance,6,Keyword,30,2b
Perplexity-fast,Finance,1,Keyword,39,2b
Perplexity-fast,Finance,2,Keyword,38,2b
Perplexity-fast,Finance,3,Keyword,31,2b
Perplexity-fast,Finance,4,Keyword,38,2b
Perplexity-fast,Finance,5,Keyword,23,2b
Perplexity-fast,Finance,6,Keyword,27,2b
ChatGPT-fast,Finance,1,Waiter,12,2b
ChatGPT-fast,Finance,2,Waiter,18,2b
ChatGPT-fast,Finance,3,Waiter,18,2b
ChatGPT-fast,Finance,4,Waiter,12,2b
ChatGPT-fast,Finance,5,Waiter,12,2b
ChatGPT-fast,Finance,6,Waiter,12,2b
ChatGPT-slow,Finance,1,Waiter,15,2b
ChatGPT-slow,Finance,2,Waiter,15,2b
ChatGPT-slow,Finance,3,Waiter,15,2b
ChatGPT-slow,Finance,4,Waiter,12,2b
ChatGPT-slow,Finance,5,Waiter,15,2b
ChatGPT-slow,Finance,6,Waiter,15,2b
Claude-fast,Finance,1,Waiter,15,2b
Claude-fast,Finance,2,Waiter,15,2b
Claude-fast,Finance,3,Waiter,15,2b
Claude-fast,Finance,4,Waiter,8,2b
Claude-fast,Finance,5,Waiter,8,2b
Claude-fast,Finance,6,Waiter,8,2b
Copilot-fast,Finance,1,Waiter,18,2b
Copilot-fast,Finance,2,Waiter,18,2b
Copilot-fast,Finance,3,Waiter,12,2b
Copilot-fast,Finance,4,Waiter,16,2b
Copilot-fast,Finance,5,Waiter,12,2b
Copilot-fast,Finance,6,Waiter,18,2b
Copilot-slow,Finance,1,Waiter,12,2b
Copilot-slow,Finance,2,Waiter,10,2b
Copilot-slow,Finance,3,Waiter,10,2b
Copilot-slow,Finance,4,Waiter,10,2b
Copilot-slow,Finance,5,Waiter,5,2b
Copilot-slow,Finance,6,Waiter,5,2b
DeepSeek-fast,Finance,1,Waiter,25,2b
DeepSeek-fast,Finance,2,Waiter,15,2b
DeepSeek-fast,Finance,3,Waiter,15,2b
DeepSeek-fast,Finance,4,Waiter,15,2b
DeepSeek-fast,Finance,5,Waiter,15,2b
DeepSeek-fast,Finance,6,Waiter,15,2b
DeepSeek-slow,Finance,1,Waiter,5,2b
DeepSeek-slow,Finance,2,Waiter,10,2b
DeepSeek-slow,Finance,3,Waiter,5,2b
DeepSeek-slow,Finance,4,Waiter,8,2b
DeepSeek-slow,Finance,5,Waiter,5,2b
DeepSeek-slow,Finance,6,Waiter,5,2b
Gemini-fast,Finance,1,Waiter,1,2b
Gemini-fast,Finance,2,Waiter,1,2b
Gemini-fast,Finance,3,Waiter,15,2b
Gemini-fast,Finance,4,Waiter,0,2b
Gemini-fast,Finance,5,Waiter,5,2b
Gemini-fast,Finance,6,Waiter,5,2b
Gemini-slow,Finance,1,Waiter,2,2b
Gemini-slow,Finance,2,Waiter,5,2b
Gemini-slow,Finance,3,Waiter,2,2b
Gemini-slow,Finance,4,Waiter,1,2b
Gemini-slow,Finance,5,Waiter,1,2b
Gemini-slow,Finance,6,Waiter,8,2b
Grok-fast,Finance,1,Waiter,15,2b
Grok-fast,Finance,2,Waiter,35,2b
Grok-fast,Finance,3,Waiter,10,2b
Grok-fast,Finance,4,Waiter,10,2b
Grok-fast,Finance,5,Waiter,10,2b
Grok-fast,Finance,6,Waiter,10,2b
LeChat-fast,Finance,1,Waiter,20,2b
LeChat-fast,Finance,2,Waiter,20,2b
LeChat-fast,Finance,3,Waiter,20,2b
LeChat-fast,Finance,4,Waiter,20,2b
LeChat-fast,Finance,5,Waiter,20,2b
LeChat-fast,Finance,6,Waiter,20,2b
LeChat-slow,Finance,1,Waiter,10,2b
LeChat-slow,Finance,2,Waiter,20,2b
LeChat-slow,Finance,3,Waiter,10,2b
LeChat-slow,Finance,4,Waiter,20,2b
LeChat-slow,Finance,5,Waiter,15,2b
LeChat-slow,Finance,6,Waiter,10,2b
Perplexity-fast,Finance,1,Waiter,30,2b
Perplexity-fast,Finance,2,Waiter,21,2b
Perplexity-fast,Finance,3,Waiter,23,2b
Perplexity-fast,Finance,4,Waiter,23,2b
Perplexity-fast,Finance,5,Waiter,23,2b
Perplexity-fast,Finance,6,Waiter,23,2b
ChatGPT-fast,Fraud,1,Waiter,15,2b
ChatGPT-fast,Fraud,2,Waiter,10,2b
ChatGPT-fast,Fraud,3,Waiter,12,2b
ChatGPT-slow,Fraud,1,Waiter,12,2b
ChatGPT-slow,Fraud,2,Waiter,15,2b
ChatGPT-slow,Fraud,3,Waiter,15,2b
Claude-fast,Fraud,1,Waiter,8,2b
Claude-fast,Fraud,2,Waiter,8,2b
Claude-fast,Fraud,3,Waiter,15,2b
Copilot-fast,Fraud,1,Waiter,12,2b
Copilot-fast,Fraud,2,Waiter,18,2b
Copilot-fast,Fraud,3,Waiter,12,2b
Copilot-slow,Fraud,1,Waiter,10,2b
Copilot-slow,Fraud,2,Waiter,5,2b
Copilot-slow,Fraud,3,Waiter,10,2b
DeepSeek-fast,Fraud,1,Waiter,15,2b
DeepSeek-fast,Fraud,2,Waiter,15,2b
DeepSeek-fast,Fraud,3,Waiter,15,2b
DeepSeek-slow,Fraud,1,Waiter,15,2b
DeepSeek-slow,Fraud,2,Waiter,20,2b
DeepSeek-slow,Fraud,3,Waiter,5,2b
Gemini-fast,Fraud,1,Waiter,5,2b
Gemini-fast,Fraud,2,Waiter,1,2b
Gemini-fast,Fraud,3,Waiter,15,2b
Gemini-slow,Fraud,1,Waiter,1,2b
Gemini-slow,Fraud,2,Waiter,1,2b
Gemini-slow,Fraud,3,Waiter,1,2b
Grok-fast,Fraud,1,Waiter,25,2b
Grok-fast,Fraud,2,Waiter,10,2b
Grok-fast,Fraud,3,Waiter,15,2b
LeChat-fast,Fraud,1,Waiter,20,2b
LeChat-fast,Fraud,2,Waiter,20,2b
LeChat-fast,Fraud,3,Waiter,20,2b
LeChat-slow,Fraud,1,Waiter,25,2b
LeChat-slow,Fraud,2,Waiter,20,2b
LeChat-slow,Fraud,3,Waiter,20,2b
Perplexity-fast,Fraud,1,Waiter,18,2b
Perplexity-fast,Fraud,2,Waiter,22,2b
Perplexity-fast,Fraud,3,Waiter,18,2b
ChatGPT-fast,HR,1,Waiter,38,2b
ChatGPT-fast,HR,2,Waiter,42,2b
ChatGPT-fast,HR,3,Waiter,38,2b
ChatGPT-slow,HR,1,Waiter,25,2b
ChatGPT-slow,HR,2,Waiter,30,2b
ChatGPT-slow,HR,3,Waiter,40,2b
Claude-fast,HR,1,Waiter,15,2b
Claude-fast,HR,2,Waiter,15,2b
Claude-fast,HR,3,Waiter,15,2b
Copilot-fast,HR,1,Waiter,34,2b
Copilot-fast,HR,2,Waiter,38,2b
Copilot-fast,HR,3,Waiter,42,2b
Copilot-slow,HR,1,Waiter,25,2b
Copilot-slow,HR,2,Waiter,25,2b
Copilot-slow,HR,3,Waiter,25,2b
DeepSeek-fast,HR,1,Waiter,45,2b
DeepSeek-fast,HR,2,Waiter,45,2b
DeepSeek-fast,HR,3,Waiter,45,2b
DeepSeek-slow,HR,1,Waiter,30,2b
DeepSeek-slow,HR,2,Waiter,35,2b
DeepSeek-slow,HR,3,Waiter,25,2b
Gemini-fast,HR,1,Waiter,15,2b
Gemini-fast,HR,2,Waiter,20,2b
Gemini-fast,HR,3,Waiter,30,2b
Gemini-slow,HR,1,Waiter,2,2b
Gemini-slow,HR,2,Waiter,15,2b
Gemini-slow,HR,3,Waiter,5,2b
Grok-fast,HR,1,Waiter,65,2b
Grok-fast,HR,2,Waiter,62,2b
Grok-fast,HR,3,Waiter,62,2b
LeChat-fast,HR,1,Waiter,45,2b
LeChat-fast,HR,2,Waiter,30,2b
LeChat-fast,HR,3,Waiter,30,2b
LeChat-slow,HR,1,Waiter,50,2b
LeChat-slow,HR,2,Waiter,40,2b
LeChat-slow,HR,3,Waiter,45,2b
Perplexity-fast,HR,1,Waiter,58,2b
Perplexity-fast,HR,2,Waiter,62,2b
Perplexity-fast,HR,3,Waiter,57,2b
