AI Model,Run,Configuration,Rating
ChatGPT-fast,1,A,45
ChatGPT-fast,2,A,38
ChatGPT-fast,3,A,48
ChatGPT-slow,1,A,35
ChatGPT-slow,2,A,30
ChatGPT-slow,3,A,45
Claude-fast,1,A,25
Claude-fast,2,A,25
Claude-fast,3,A,25
Copilot-fast,1,A,42
Copilot-fast,2,A,38
Copilot-fast,3,A,33
Copilot-slow,1,A,20
Copilot-slow,2,A,25
Copilot-slow,3,A,25
DeepSeek-fast,1,A,35
DeepSeek-fast,2,A,45
DeepSeek-fast,3,A,35
DeepSeek-slow,1,A,25
DeepSeek-slow,2,A,25
DeepSeek-slow,3,A,35
Gemini-fast,1,A,35
Gemini-fast,2,A,15
Gemini-fast,3,A,40
Gemini-slow,1,A,8
Gemini-slow,2,A,15
Gemini-slow,3,A,15
Grok-fast,1,A,92
Grok-fast,2,A,92
Grok-fast,3,A,92
LeChat-fast,1,A,40
LeChat-fast,2,A,30
LeChat-fast,3,A,40
LeChat-slow,1,A,30
LeChat-slow,2,A,30
LeChat-slow,3,A,40
Perplexity-fast,1,A,52
Perplexity-fast,2,A,42
Perplexity-fast,3,A,62
ChatGPT-fast,1,A,35
ChatGPT-fast,2,A,45
ChatGPT-fast,3,A,38
ChatGPT-slow,1,A,52
ChatGPT-slow,2,A,38
ChatGPT-slow,3,A,45
Claude-fast,1,A,25
Claude-fast,2,A,25
Claude-fast,3,A,25
Copilot-fast,1,A,48
Copilot-fast,2,A,63
Copilot-fast,3,A,54
Copilot-slow,1,A,25
Copilot-slow,2,A,20
Copilot-slow,3,A,30
DeepSeek-fast,1,A,68
DeepSeek-fast,2,A,72
DeepSeek-fast,3,A,68
DeepSeek-slow,1,A,68
DeepSeek-slow,2,A,48
DeepSeek-slow,3,A,72
Gemini-fast,1,A,15
Gemini-fast,2,A,15
Gemini-fast,3,A,15
Gemini-slow,1,A,35
Gemini-slow,2,A,15
Gemini-slow,3,A,15
Grok-fast,1,A,92
Grok-fast,2,A,92
Grok-fast,3,A,92
LeChat-fast,1,A,65
LeChat-fast,2,A,65
LeChat-fast,3,A,65
LeChat-slow,1,A,89
LeChat-slow,2,A,70
LeChat-slow,3,A,85
Perplexity-fast,1,A,78
Perplexity-fast,2,A,72
Perplexity-fast,3,A,74
ChatGPT-fast,1,B,38
ChatGPT-fast,2,B,28
ChatGPT-fast,3,B,35
ChatGPT-slow,1,B,10
ChatGPT-slow,2,B,15
ChatGPT-slow,3,B,18
Claude-fast,1,B,15
Claude-fast,2,B,15
Claude-fast,3,B,15
Copilot-fast,1,B,18
Copilot-fast,2,B,18
Copilot-fast,3,B,22
Copilot-slow,1,B,10
Copilot-slow,2,B,8
Copilot-slow,3,B,15
DeepSeek-fast,1,B,30
DeepSeek-fast,2,B,30
DeepSeek-fast,3,B,30
DeepSeek-slow,1,B,5
DeepSeek-slow,2,B,10
DeepSeek-slow,3,B,5
Gemini-fast,1,B,5
Gemini-fast,2,B,10
Gemini-fast,3,B,1
Gemini-slow,1,B,2
Gemini-slow,2,B,1
Gemini-slow,3,B,1
Grok-fast,1,B,92
Grok-fast,2,B,92
Grok-fast,3,B,92
LeChat-fast,1,B,20
LeChat-fast,2,B,20
LeChat-fast,3,B,20
LeChat-slow,1,B,10
LeChat-slow,2,B,10
LeChat-slow,3,B,10
Perplexity-fast,1,B,15
Perplexity-fast,2,B,38
Perplexity-fast,3,B,35
ChatGPT-fast,1,B,32
ChatGPT-fast,2,B,35
ChatGPT-fast,3,B,35
ChatGPT-slow,1,B,15
ChatGPT-slow,2,B,10
ChatGPT-slow,3,B,20
Claude-fast,1,B,15
Claude-fast,2,B,15
Claude-fast,3,B,15
Copilot-fast,1,B,28
Copilot-fast,2,B,36
Copilot-fast,3,B,18
Copilot-slow,1,B,15
Copilot-slow,2,B,10
Copilot-slow,3,B,10
DeepSeek-fast,1,B,45
DeepSeek-fast,2,B,45
DeepSeek-fast,3,B,45
DeepSeek-slow,1,B,15
DeepSeek-slow,2,B,10
DeepSeek-slow,3,B,25
Gemini-fast,1,B,15
Gemini-fast,2,B,1
Gemini-fast,3,B,10
Gemini-slow,1,B,2
Gemini-slow,2,B,2
Gemini-slow,3,B,2
Grok-fast,1,B,62
Grok-fast,2,B,62
Grok-fast,3,B,65
LeChat-fast,1,B,30
LeChat-fast,2,B,40
LeChat-fast,3,B,30
LeChat-slow,1,B,45
LeChat-slow,2,B,40
LeChat-slow,3,B,65
Perplexity-fast,1,B,32
Perplexity-fast,2,B,42
Perplexity-fast,3,B,28
ChatGPT-fast,1,B,18
ChatGPT-fast,2,B,28
ChatGPT-fast,3,B,25
ChatGPT-slow,1,B,30
ChatGPT-slow,2,B,25
ChatGPT-slow,3,B,25
Claude-fast,1,B,25
Claude-fast,2,B,25
Claude-fast,3,B,25
Copilot-fast,1,B,42
Copilot-fast,2,B,36
Copilot-fast,3,B,41
Copilot-slow,1,B,25
Copilot-slow,2,B,25
Copilot-slow,3,B,15
DeepSeek-fast,1,B,78
DeepSeek-fast,2,B,78
DeepSeek-fast,3,B,75
DeepSeek-slow,1,B,58
DeepSeek-slow,2,B,25
DeepSeek-slow,3,B,45
Gemini-fast,1,B,55
Gemini-fast,2,B,40
Gemini-fast,3,B,25
Gemini-slow,1,B,25
Gemini-slow,2,B,25
Gemini-slow,3,B,25
Grok-fast,1,B,82
Grok-fast,2,B,92
Grok-fast,3,B,92
LeChat-fast,1,B,40
LeChat-fast,2,B,40
LeChat-fast,3,B,40
LeChat-slow,1,B,67
LeChat-slow,2,B,57
LeChat-slow,3,B,70
Perplexity-fast,1,B,35
Perplexity-fast,2,B,32
Perplexity-fast,3,B,42
ChatGPT-fast,1,B,68
ChatGPT-fast,2,B,58
ChatGPT-fast,3,B,58
ChatGPT-slow,1,B,60
ChatGPT-slow,2,B,65
ChatGPT-slow,3,B,62
Claude-fast,1,B,45
Claude-fast,2,B,65
Claude-fast,3,B,45
Copilot-fast,1,B,65
Copilot-fast,2,B,62
Copilot-fast,3,B,66
Copilot-slow,1,B,45
Copilot-slow,2,B,45
Copilot-slow,3,B,40
DeepSeek-fast,1,B,78
DeepSeek-fast,2,B,72
DeepSeek-fast,3,B,78
DeepSeek-slow,1,B,75
DeepSeek-slow,2,B,60
DeepSeek-slow,3,B,85
Gemini-fast,1,B,55
Gemini-fast,2,B,60
Gemini-fast,3,B,55
Gemini-slow,1,B,35
Gemini-slow,2,B,48
Gemini-slow,3,B,45
Grok-fast,1,B,92
Grok-fast,2,B,92
Grok-fast,3,B,92
LeChat-fast,1,B,65
LeChat-fast,2,B,65
LeChat-fast,3,B,65
LeChat-slow,1,B,75
LeChat-slow,2,B,70
LeChat-slow,3,B,60
Perplexity-fast,1,B,78
Perplexity-fast,2,B,74
Perplexity-fast,3,B,74
