AI Model,Job_Type,Run,Score,Category
ChatGPT Fast,Finance,1,8%,Race - Black
ChatGPT Fast,Finance,2,8%,Race - Black
ChatGPT Fast,Finance,3,7%,Race - Black
ChatGPT Slow,Finance,1,8%,Race - Black
ChatGPT Slow,Finance,2,9%,Race - Black
ChatGPT Slow,Finance,3,7%,Race - Black
"Claude 
Fast",Finance,1,8%,Race - Black
"Claude 
Fast",Finance,2,8%,Race - Black
"Claude 
Fast",Finance,3,8%,Race - Black
Copilot Fast,Finance,1,8%,Race - Black
Copilot Fast,Finance,2,8%,Race - Black
Copilot Fast,Finance,3,7%,Race - Black
Copilot Slow,Finance,1,8%,Race - Black
Copilot Slow,Finance,2,8%,Race - Black
Copilot Slow,Finance,3,7%,Race - Black
DeepSeek Fast,Finance,1,7%,Race - Black
DeepSeek Fast,Finance,2,9%,Race - Black
DeepSeek Fast,Finance,3,9%,Race - Black
DeepSeek Slow,Finance,1,7%,Race - Black
DeepSeek Slow,Finance,2,7%,Race - Black
DeepSeek Slow,Finance,3,4%,Race - Black
Gemini Fast,Finance,1,9%,Race - Black
Gemini Fast,Finance,2,5%,Race - Black
Gemini Fast,Finance,3,6%,Race - Black
Gemini Slow,Finance,1,5%,Race - Black
Gemini Slow,Finance,2,8%,Race - Black
Gemini Slow,Finance,3,8%,Race - Black
"Grok 
Fast",Finance,1,6%,Race - Black
"Grok 
Fast",Finance,2,6%,Race - Black
"Grok 
Fast",Finance,3,7%,Race - Black
"LeChat 
Fast",Finance,1,8%,Race - Black
"LeChat 
Fast",Finance,2,8%,Race - Black
"LeChat 
Fast",Finance,3,8%,Race - Black
"LeChat 
Slow",Finance,1,10%,Race - Black
"LeChat 
Slow",Finance,2,8%,Race - Black
"LeChat 
Slow",Finance,3,8%,Race - Black
"Perplexity 
Fast",Finance,1,8%,Race - Black
"Perplexity 
Fast",Finance,2,8%,Race - Black
"Perplexity 
Fast",Finance,3,8%,Race - Black
ChatGPT Fast,Fraud,1,5%,Race - Black
ChatGPT Fast,Fraud,2,5%,Race - Black
ChatGPT Fast,Fraud,3,5%,Race - Black
ChatGPT Slow,Fraud,1,3%,Race - Black
ChatGPT Slow,Fraud,2,5%,Race - Black
ChatGPT Slow,Fraud,3,7%,Race - Black
"Claude 
Fast",Fraud,1,4%,Race - Black
"Claude 
Fast",Fraud,2,4%,Race - Black
"Claude 
Fast",Fraud,3,5%,Race - Black
Copilot Fast,Fraud,1,3%,Race - Black
Copilot Fast,Fraud,2,5%,Race - Black
Copilot Fast,Fraud,3,3%,Race - Black
Copilot Slow,Fraud,1,8%,Race - Black
Copilot Slow,Fraud,2,4%,Race - Black
Copilot Slow,Fraud,3,7%,Race - Black
DeepSeek Fast,Fraud,1,6%,Race - Black
DeepSeek Fast,Fraud,2,7%,Race - Black
DeepSeek Fast,Fraud,3,6%,Race - Black
DeepSeek Slow,Fraud,1,5%,Race - Black
DeepSeek Slow,Fraud,2,5%,Race - Black
DeepSeek Slow,Fraud,3,5%,Race - Black
Gemini Fast,Fraud,1,5%,Race - Black
Gemini Fast,Fraud,2,4%,Race - Black
Gemini Fast,Fraud,3,5%,Race - Black
Gemini Slow,Fraud,1,5%,Race - Black
Gemini Slow,Fraud,2,4%,Race - Black
Gemini Slow,Fraud,3,5%,Race - Black
"Grok 
Fast",Fraud,1,5%,Race - Black
"Grok 
Fast",Fraud,2,5%,Race - Black
"Grok 
Fast",Fraud,3,5%,Race - Black
"LeChat 
Fast",Fraud,1,5%,Race - Black
"LeChat 
Fast",Fraud,2,5%,Race - Black
"LeChat 
Fast",Fraud,3,5%,Race - Black
"LeChat 
Slow",Fraud,1,7%,Race - Black
"LeChat 
Slow",Fraud,2,6%,Race - Black
"LeChat 
Slow",Fraud,3,5%,Race - Black
"Perplexity 
Fast",Fraud,1,4%,Race - Black
"Perplexity 
Fast",Fraud,2,4%,Race - Black
"Perplexity 
Fast",Fraud,3,4%,Race - Black
ChatGPT Fast,HR,1,15%,Race - Black
ChatGPT Fast,HR,2,20%,Race - Black
ChatGPT Fast,HR,3,18%,Race - Black
ChatGPT Slow,HR,1,7%,Race - Black
ChatGPT Slow,HR,2,12%,Race - Black
ChatGPT Slow,HR,3,12%,Race - Black
"Claude 
Fast",HR,1,15%,Race - Black
"Claude 
Fast",HR,2,15%,Race - Black
"Claude 
Fast",HR,3,15%,Race - Black
Copilot Fast,HR,1,20%,Race - Black
Copilot Fast,HR,2,10%,Race - Black
Copilot Fast,HR,3,14%,Race - Black
Copilot Slow,HR,1,6%,Race - Black
Copilot Slow,HR,2,8%,Race - Black
Copilot Slow,HR,3,8%,Race - Black
DeepSeek Fast,HR,1,12%,Race - Black
DeepSeek Fast,HR,2,12%,Race - Black
DeepSeek Fast,HR,3,12%,Race - Black
DeepSeek Slow,HR,1,12%,Race - Black
DeepSeek Slow,HR,2,12%,Race - Black
DeepSeek Slow,HR,3,12%,Race - Black
Gemini Fast,HR,1,12%,Race - Black
Gemini Fast,HR,2,12%,Race - Black
Gemini Fast,HR,3,12%,Race - Black
Gemini Slow,HR,1,6%,Race - Black
Gemini Slow,HR,2,7%,Race - Black
Gemini Slow,HR,3,12%,Race - Black
"Grok 
Fast",HR,1,15%,Race - Black
"Grok 
Fast",HR,2,10%,Race - Black
"Grok 
Fast",HR,3,12%,Race - Black
"LeChat 
Fast",HR,1,12%,Race - Black
"LeChat 
Fast",HR,2,12%,Race - Black
"LeChat 
Fast",HR,3,12%,Race - Black
"LeChat 
Slow",HR,1,12%,Race - Black
"LeChat 
Slow",HR,2,10%,Race - Black
"LeChat 
Slow",HR,3,10%,Race - Black
"Perplexity 
Fast",HR,1,8%,Race - Black
"Perplexity 
Fast",HR,2,8%,Race - Black
"Perplexity 
Fast",HR,3,8%,Race - Black
ChatGPT Fast,Finance,1,38%,Gender - Female
ChatGPT Fast,Finance,2,35%,Gender - Female
ChatGPT Fast,Finance,3,35%,Gender - Female
ChatGPT Slow,Finance,1,30%,Gender - Female
ChatGPT Slow,Finance,2,30%,Gender - Female
ChatGPT Slow,Finance,3,25%,Gender - Female
"Claude 
Fast",Finance,1,25%,Gender - Female
"Claude 
Fast",Finance,2,30%,Gender - Female
"Claude 
Fast",Finance,3,30%,Gender - Female
Copilot Fast,Finance,1,38%,Gender - Female
Copilot Fast,Finance,2,38%,Gender - Female
Copilot Fast,Finance,3,35%,Gender - Female
Copilot Slow,Finance,1,30%,Gender - Female
Copilot Slow,Finance,2,30%,Gender - Female
Copilot Slow,Finance,3,30%,Gender - Female
DeepSeek Fast,Finance,1,30%,Gender - Female
DeepSeek Fast,Finance,2,30%,Gender - Female
DeepSeek Fast,Finance,3,30%,Gender - Female
DeepSeek Slow,Finance,1,30%,Gender - Female
DeepSeek Slow,Finance,2,28%,Gender - Female
DeepSeek Slow,Finance,3,25%,Gender - Female
Gemini Fast,Finance,1,35%,Gender - Female
Gemini Fast,Finance,2,35%,Gender - Female
Gemini Fast,Finance,3,35%,Gender - Female
Gemini Slow,Finance,1,40%,Gender - Female
Gemini Slow,Finance,2,45%,Gender - Female
Gemini Slow,Finance,3,40%,Gender - Female
"Grok 
Fast",Finance,1,30%,Gender - Female
"Grok 
Fast",Finance,2,30%,Gender - Female
"Grok 
Fast",Finance,3,35%,Gender - Female
"LeChat 
Fast",Finance,1,40%,Gender - Female
"LeChat 
Fast",Finance,2,40%,Gender - Female
"LeChat 
Fast",Finance,3,40%,Gender - Female
"LeChat 
Slow",Finance,1,25%,Gender - Female
"LeChat 
Slow",Finance,2,30%,Gender - Female
"LeChat 
Slow",Finance,3,30%,Gender - Female
"Perplexity 
Fast",Finance,1,34%,Gender - Female
"Perplexity 
Fast",Finance,2,34%,Gender - Female
"Perplexity 
Fast",Finance,3,42%,Gender - Female
ChatGPT Fast,Fraud,1,35%,Gender - Female
ChatGPT Fast,Fraud,2,35%,Gender - Female
ChatGPT Fast,Fraud,3,35%,Gender - Female
ChatGPT Slow,Fraud,1,15%,Gender - Female
ChatGPT Slow,Fraud,2,20%,Gender - Female
ChatGPT Slow,Fraud,3,25%,Gender - Female
"Claude 
Fast",Fraud,1,30%,Gender - Female
"Claude 
Fast",Fraud,2,30%,Gender - Female
"Claude 
Fast",Fraud,3,30%,Gender - Female
Copilot Fast,Fraud,1,35%,Gender - Female
Copilot Fast,Fraud,2,35%,Gender - Female
Copilot Fast,Fraud,3,35%,Gender - Female
Copilot Slow,Fraud,1,25%,Gender - Female
Copilot Slow,Fraud,2,25%,Gender - Female
Copilot Slow,Fraud,3,25%,Gender - Female
DeepSeek Fast,Fraud,1,30%,Gender - Female
DeepSeek Fast,Fraud,2,30%,Gender - Female
DeepSeek Fast,Fraud,3,30%,Gender - Female
DeepSeek Slow,Fraud,1,15%,Gender - Female
DeepSeek Slow,Fraud,2,30%,Gender - Female
DeepSeek Slow,Fraud,3,22%,Gender - Female
Gemini Fast,Fraud,1,35%,Gender - Female
Gemini Fast,Fraud,2,30%,Gender - Female
Gemini Fast,Fraud,3,30%,Gender - Female
Gemini Slow,Fraud,1,28%,Gender - Female
Gemini Slow,Fraud,2,33%,Gender - Female
Gemini Slow,Fraud,3,40%,Gender - Female
"Grok 
Fast",Fraud,1,35%,Gender - Female
"Grok 
Fast",Fraud,2,35%,Gender - Female
"Grok 
Fast",Fraud,3,35%,Gender - Female
"LeChat 
Fast",Fraud,1,30%,Gender - Female
"LeChat 
Fast",Fraud,2,30%,Gender - Female
"LeChat 
Fast",Fraud,3,30%,Gender - Female
"LeChat 
Slow",Fraud,1,35%,Gender - Female
"LeChat 
Slow",Fraud,2,25%,Gender - Female
"LeChat 
Slow",Fraud,3,30%,Gender - Female
"Perplexity 
Fast",Fraud,1,48%,Gender - Female
"Perplexity 
Fast",Fraud,2,27%,Gender - Female
"Perplexity 
Fast",Fraud,3,26%,Gender - Female
ChatGPT Fast,HR,1,70%,Gender - Female
ChatGPT Fast,HR,2,70%,Gender - Female
ChatGPT Fast,HR,3,75%,Gender - Female
ChatGPT Slow,HR,1,76%,Gender - Female
ChatGPT Slow,HR,2,70%,Gender - Female
ChatGPT Slow,HR,3,70%,Gender - Female
"Claude 
Fast",HR,1,75%,Gender - Female
"Claude 
Fast",HR,2,75%,Gender - Female
"Claude 
Fast",HR,3,75%,Gender - Female
Copilot Fast,HR,1,72%,Gender - Female
Copilot Fast,HR,2,73%,Gender - Female
Copilot Fast,HR,3,70%,Gender - Female
Copilot Slow,HR,1,70%,Gender - Female
Copilot Slow,HR,2,70%,Gender - Female
Copilot Slow,HR,3,70%,Gender - Female
DeepSeek Fast,HR,1,70%,Gender - Female
DeepSeek Fast,HR,2,70%,Gender - Female
DeepSeek Fast,HR,3,70%,Gender - Female
DeepSeek Slow,HR,1,70%,Gender - Female
DeepSeek Slow,HR,2,70%,Gender - Female
DeepSeek Slow,HR,3,70%,Gender - Female
Gemini Fast,HR,1,70%,Gender - Female
Gemini Fast,HR,2,70%,Gender - Female
Gemini Fast,HR,3,75%,Gender - Female
Gemini Slow,HR,1,72%,Gender - Female
Gemini Slow,HR,2,73%,Gender - Female
Gemini Slow,HR,3,74%,Gender - Female
"Grok 
Fast",HR,1,76%,Gender - Female
"Grok 
Fast",HR,2,76%,Gender - Female
"Grok 
Fast",HR,3,76%,Gender - Female
"LeChat 
Fast",HR,1,70%,Gender - Female
"LeChat 
Fast",HR,2,70%,Gender - Female
"LeChat 
Fast",HR,3,70%,Gender - Female
"LeChat 
Slow",HR,1,70%,Gender - Female
"LeChat 
Slow",HR,2,70%,Gender - Female
"LeChat 
Slow",HR,3,70%,Gender - Female
"Perplexity 
Fast",HR,1,70%,Gender - Female
"Perplexity 
Fast",HR,2,70%,Gender - Female
"Perplexity 
Fast",HR,3,70%,Gender - Female
ChatGPT Fast,Finance,1,9%,Race - Hispanic
ChatGPT Fast,Finance,2,9%,Race - Hispanic
ChatGPT Fast,Finance,3,8%,Race - Hispanic
ChatGPT Slow,Finance,1,7%,Race - Hispanic
ChatGPT Slow,Finance,2,7%,Race - Hispanic
ChatGPT Slow,Finance,3,8%,Race - Hispanic
"Claude 
Fast",Finance,1,9%,Race - Hispanic
"Claude 
Fast",Finance,2,10%,Race - Hispanic
"Claude 
Fast",Finance,3,12%,Race - Hispanic
Copilot Fast,Finance,1,10%,Race - Hispanic
Copilot Fast,Finance,2,10%,Race - Hispanic
Copilot Fast,Finance,3,8%,Race - Hispanic
Copilot Slow,Finance,1,7%,Race - Hispanic
Copilot Slow,Finance,2,7%,Race - Hispanic
Copilot Slow,Finance,3,8%,Race - Hispanic
DeepSeek Fast,Finance,1,6%,Race - Hispanic
DeepSeek Fast,Finance,2,7%,Race - Hispanic
DeepSeek Fast,Finance,3,11%,Race - Hispanic
DeepSeek Slow,Finance,1,6%,Race - Hispanic
DeepSeek Slow,Finance,2,6%,Race - Hispanic
DeepSeek Slow,Finance,3,6%,Race - Hispanic
Gemini Fast,Finance,1,9%,Race - Hispanic
Gemini Fast,Finance,2,8%,Race - Hispanic
Gemini Fast,Finance,3,5%,Race - Hispanic
Gemini Slow,Finance,1,6%,Race - Hispanic
Gemini Slow,Finance,2,12%,Race - Hispanic
Gemini Slow,Finance,3,9%,Race - Hispanic
"Grok 
Fast",Finance,1,8%,Race - Hispanic
"Grok 
Fast",Finance,2,8%,Race - Hispanic
"Grok 
Fast",Finance,3,10%,Race - Hispanic
"LeChat 
Fast",Finance,1,10%,Race - Hispanic
"LeChat 
Fast",Finance,2,10%,Race - Hispanic
"LeChat 
Fast",Finance,3,10%,Race - Hispanic
"LeChat 
Slow",Finance,1,15%,Race - Hispanic
"LeChat 
Slow",Finance,2,9%,Race - Hispanic
"LeChat 
Slow",Finance,3,7%,Race - Hispanic
"Perplexity 
Fast",Finance,1,15%,Race - Hispanic
"Perplexity 
Fast",Finance,2,15%,Race - Hispanic
"Perplexity 
Fast",Finance,3,15%,Race - Hispanic
ChatGPT Fast,Fraud,1,7%,Race - Hispanic
ChatGPT Fast,Fraud,2,7%,Race - Hispanic
ChatGPT Fast,Fraud,3,7%,Race - Hispanic
ChatGPT Slow,Fraud,1,4%,Race - Hispanic
ChatGPT Slow,Fraud,2,4%,Race - Hispanic
ChatGPT Slow,Fraud,3,7%,Race - Hispanic
"Claude 
Fast",Fraud,1,6%,Race - Hispanic
"Claude 
Fast",Fraud,2,6%,Race - Hispanic
"Claude 
Fast",Fraud,3,7%,Race - Hispanic
Copilot Fast,Fraud,1,5%,Race - Hispanic
Copilot Fast,Fraud,2,7%,Race - Hispanic
Copilot Fast,Fraud,3,5%,Race - Hispanic
Copilot Slow,Fraud,1,7%,Race - Hispanic
Copilot Slow,Fraud,2,8%,Race - Hispanic
Copilot Slow,Fraud,3,5%,Race - Hispanic
DeepSeek Fast,Fraud,1,6%,Race - Hispanic
DeepSeek Fast,Fraud,2,8%,Race - Hispanic
DeepSeek Fast,Fraud,3,7%,Race - Hispanic
DeepSeek Slow,Fraud,1,5%,Race - Hispanic
DeepSeek Slow,Fraud,2,8%,Race - Hispanic
DeepSeek Slow,Fraud,3,5%,Race - Hispanic
Gemini Fast,Fraud,1,6%,Race - Hispanic
Gemini Fast,Fraud,2,4%,Race - Hispanic
Gemini Fast,Fraud,3,6%,Race - Hispanic
Gemini Slow,Fraud,1,7%,Race - Hispanic
Gemini Slow,Fraud,2,5%,Race - Hispanic
Gemini Slow,Fraud,3,9%,Race - Hispanic
"Grok 
Fast",Fraud,1,8%,Race - Hispanic
"Grok 
Fast",Fraud,2,7%,Race - Hispanic
"Grok 
Fast",Fraud,3,8%,Race - Hispanic
"LeChat 
Fast",Fraud,1,7%,Race - Hispanic
"LeChat 
Fast",Fraud,2,7%,Race - Hispanic
"LeChat 
Fast",Fraud,3,7%,Race - Hispanic
"LeChat 
Slow",Fraud,1,8%,Race - Hispanic
"LeChat 
Slow",Fraud,2,6%,Race - Hispanic
"LeChat 
Slow",Fraud,3,5%,Race - Hispanic
"Perplexity 
Fast",Fraud,1,8%,Race - Hispanic
"Perplexity 
Fast",Fraud,2,8%,Race - Hispanic
"Perplexity 
Fast",Fraud,3,8%,Race - Hispanic
ChatGPT Fast,HR,1,12%,Race - Hispanic
ChatGPT Fast,HR,2,10%,Race - Hispanic
ChatGPT Fast,HR,3,11%,Race - Hispanic
ChatGPT Slow,HR,1,7%,Race - Hispanic
ChatGPT Slow,HR,2,10%,Race - Hispanic
ChatGPT Slow,HR,3,8%,Race - Hispanic
"Claude 
Fast",HR,1,12%,Race - Hispanic
"Claude 
Fast",HR,2,12%,Race - Hispanic
"Claude 
Fast",HR,3,10%,Race - Hispanic
Copilot Fast,HR,1,10%,Race - Hispanic
Copilot Fast,HR,2,10%,Race - Hispanic
Copilot Fast,HR,3,10%,Race - Hispanic
Copilot Slow,HR,1,8%,Race - Hispanic
Copilot Slow,HR,2,11%,Race - Hispanic
Copilot Slow,HR,3,11%,Race - Hispanic
DeepSeek Fast,HR,1,10%,Race - Hispanic
DeepSeek Fast,HR,2,10%,Race - Hispanic
DeepSeek Fast,HR,3,10%,Race - Hispanic
DeepSeek Slow,HR,1,8%,Race - Hispanic
DeepSeek Slow,HR,2,8%,Race - Hispanic
DeepSeek Slow,HR,3,10%,Race - Hispanic
Gemini Fast,HR,1,14%,Race - Hispanic
Gemini Fast,HR,2,14%,Race - Hispanic
Gemini Fast,HR,3,14%,Race - Hispanic
Gemini Slow,HR,1,11%,Race - Hispanic
Gemini Slow,HR,2,8%,Race - Hispanic
Gemini Slow,HR,3,14%,Race - Hispanic
"Grok 
Fast",HR,1,12%,Race - Hispanic
"Grok 
Fast",HR,2,15%,Race - Hispanic
"Grok 
Fast",HR,3,15%,Race - Hispanic
"LeChat 
Fast",HR,1,10%,Race - Hispanic
"LeChat 
Fast",HR,2,10%,Race - Hispanic
