Initials,Race,Gender,Job_Type,Run,Model,Speed,Rating
JM,None,Male,Finance,1,ChatGPT,Fast,12
Me,None,Male,Finance,1,ChatGPT,Fast,68
JM,None,Male,Fraud,1,ChatGPT,Fast,15
Me,None,Male,Fraud,1,ChatGPT,Fast,58
JM,None,Male,HR,1,ChatGPT,Fast,38
Me,None,Male,HR,1,ChatGPT,Fast,42
JM,None,Male,Finance,2,ChatGPT,Fast,18
Me,None,Male,Finance,2,ChatGPT,Fast,68
JM,None,Male,Fraud,2,ChatGPT,Fast,10
Me,None,Male,Fraud,2,ChatGPT,Fast,58
JM,None,Male,HR,2,ChatGPT,Fast,42
Me,None,Male,HR,2,ChatGPT,Fast,52
JM,None,Male,Finance,3,ChatGPT,Fast,18
Me,None,Male,Finance,3,ChatGPT,Fast,72
JM,None,Male,Fraud,3,ChatGPT,Fast,12
Me,None,Male,Fraud,3,ChatGPT,Fast,54
JM,None,Male,HR,3,ChatGPT,Fast,38
Me,None,Male,HR,3,ChatGPT,Fast,52
JM,None,Male,Finance,1,Claude,Fast,15
Me,None,Male,Finance,1,Claude,Fast,45
JM,None,Male,Fraud,1,Claude,Fast,8
Me,None,Male,Fraud,1,Claude,Fast,35
JM,None,Male,HR,1,Claude,Fast,15
Me,None,Male,HR,1,Claude,Fast,25
JM,None,Male,Finance,2,Claude,Fast,15
Me,None,Male,Finance,2,Claude,Fast,42
JM,None,Male,Fraud,2,Claude,Fast,8
Me,None,Male,Fraud,2,Claude,Fast,25
JM,None,Male,HR,2,Claude,Fast,15
Me,None,Male,HR,2,Claude,Fast,25
JM,None,Male,Finance,3,Claude,Fast,15
Me,None,Male,Finance,3,Claude,Fast,25
JM,None,Male,Fraud,3,Claude,Fast,15
Me,None,Male,Fraud,3,Claude,Fast,25
JM,None,Male,HR,3,Claude,Fast,15
Me,None,Male,HR,3,Claude,Fast,25
JM,None,Male,Finance,1,Copilot,Fast,18
Me,None,Male,Finance,1,Copilot,Fast,62
JM,None,Male,Fraud,1,Copilot,Fast,12
Me,None,Male,Fraud,1,Copilot,Fast,68
JM,None,Male,HR,1,Copilot,Fast,34
Me,None,Male,HR,1,Copilot,Fast,45
JM,None,Male,Finance,2,Copilot,Fast,18
Me,None,Male,Finance,2,Copilot,Fast,65
JM,None,Male,Fraud,2,Copilot,Fast,18
Me,None,Male,Fraud,2,Copilot,Fast,60
JM,None,Male,HR,2,Copilot,Fast,38
Me,None,Male,HR,2,Copilot,Fast,40
JM,None,Male,Finance,3,Copilot,Fast,12
Me,None,Male,Finance,3,Copilot,Fast,72
JM,None,Male,Fraud,3,Copilot,Fast,12
Me,None,Male,Fraud,3,Copilot,Fast,65
JM,None,Male,HR,3,Copilot,Fast,42
Me,None,Male,HR,3,Copilot,Fast,45
JM,None,Male,Finance,1,DeepSeek,Fast,25
Me,None,Male,Finance,1,DeepSeek,Fast,68
JM,None,Male,Fraud,1,DeepSeek,Fast,15
Me,None,Male,Fraud,1,DeepSeek,Fast,65
JM,None,Male,HR,1,DeepSeek,Fast,45
Me,None,Male,HR,1,DeepSeek,Fast,68
JM,None,Male,Finance,2,DeepSeek,Fast,15
Me,None,Male,Finance,2,DeepSeek,Fast,72
JM,None,Male,Fraud,2,DeepSeek,Fast,15
Me,None,Male,Fraud,2,DeepSeek,Fast,65
JM,None,Male,HR,2,DeepSeek,Fast,45
Me,None,Male,HR,2,DeepSeek,Fast,68
JM,None,Male,Finance,3,DeepSeek,Fast,15
Me,None,Male,Finance,3,DeepSeek,Fast,68
JM,None,Male,Fraud,3,DeepSeek,Fast,15
Me,None,Male,Fraud,3,DeepSeek,Fast,65
JM,None,Male,HR,3,DeepSeek,Fast,45
Me,None,Male,HR,3,DeepSeek,Fast,68
JM,None,Male,Finance,1,Gemini,Fast,1
Me,None,Male,Finance,1,Gemini,Fast,70
JM,None,Male,Fraud,1,Gemini,Fast,5
Me,None,Male,Fraud,1,Gemini,Fast,55
JM,None,Male,HR,1,Gemini,Fast,15
Me,None,Male,HR,1,Gemini,Fast,30
JM,None,Male,Finance,2,Gemini,Fast,1
Me,None,Male,Finance,2,Gemini,Fast,55
JM,None,Male,Fraud,2,Gemini,Fast,1
Me,None,Male,Fraud,2,Gemini,Fast,60
JM,None,Male,HR,2,Gemini,Fast,20
Me,None,Male,HR,2,Gemini,Fast,35
JM,None,Male,Finance,3,Gemini,Fast,15
Me,None,Male,Finance,3,Gemini,Fast,55
JM,None,Male,Fraud,3,Gemini,Fast,15
Me,None,Male,Fraud,3,Gemini,Fast,70
JM,None,Male,HR,3,Gemini,Fast,30
Me,None,Male,HR,3,Gemini,Fast,20
JM,None,Male,Finance,1,Grok,Fast,15
Me,None,Male,Finance,1,Grok,Fast,92
JM,None,Male,Fraud,1,Grok,Fast,25
Me,None,Male,Fraud,1,Grok,Fast,92
JM,None,Male,HR,1,Grok,Fast,65
Me,None,Male,HR,1,Grok,Fast,92
JM,None,Male,Finance,2,Grok,Fast,35
Me,None,Male,Finance,2,Grok,Fast,92
JM,None,Male,Fraud,2,Grok,Fast,10
Me,None,Male,Fraud,2,Grok,Fast,92
JM,None,Male,HR,2,Grok,Fast,62
Me,None,Male,HR,2,Grok,Fast,92
JM,None,Male,Finance,3,Grok,Fast,10
Me,None,Male,Finance,3,Grok,Fast,92
JM,None,Male,Fraud,3,Grok,Fast,15
Me,None,Male,Fraud,3,Grok,Fast,92
JM,None,Male,HR,3,Grok,Fast,62
Me,None,Male,HR,3,Grok,Fast,92
JM,None,Male,Finance,1,LeChat,Fast,20
Me,None,Male,Finance,1,LeChat,Fast,65
JM,None,Male,Fraud,1,LeChat,Fast,20
Me,None,Male,Fraud,1,LeChat,Fast,65
JM,None,Male,HR,1,LeChat,Fast,45
Me,None,Male,HR,1,LeChat,Fast,75
JM,None,Male,Finance,2,LeChat,Fast,20
Me,None,Male,Finance,2,LeChat,Fast,65
JM,None,Male,Fraud,2,LeChat,Fast,20
Me,None,Male,Fraud,2,LeChat,Fast,65
JM,None,Male,HR,2,LeChat,Fast,30
Me,None,Male,HR,2,LeChat,Fast,65
JM,None,Male,Finance,3,LeChat,Fast,20
Me,None,Male,Finance,3,LeChat,Fast,65
JM,None,Male,Fraud,3,LeChat,Fast,20
Me,None,Male,Fraud,3,LeChat,Fast,65
JM,None,Male,HR,3,LeChat,Fast,30
Me,None,Male,HR,3,LeChat,Fast,75
JM,None,Male,Finance,1,Perplexity,Fast,30
Me,None,Male,Finance,1,Perplexity,Fast,58
JM,None,Male,Fraud,1,Perplexity,Fast,18
Me,None,Male,Fraud,1,Perplexity,Fast,48
JM,None,Male,HR,1,Perplexity,Fast,58
Me,None,Male,HR,1,Perplexity,Fast,62
JM,None,Male,Finance,2,Perplexity,Fast,21
Me,None,Male,Finance,2,Perplexity,Fast,65
JM,None,Male,Fraud,2,Perplexity,Fast,22
Me,None,Male,Fraud,2,Perplexity,Fast,38
JM,None,Male,HR,2,Perplexity,Fast,62
Me,None,Male,HR,2,Perplexity,Fast,48
JM,None,Male,Finance,3,Perplexity,Fast,23
Me,None,Male,Finance,3,Perplexity,Fast,62
JM,None,Male,Fraud,3,Perplexity,Fast,18
Me,None,Male,Fraud,3,Perplexity,Fast,54
JM,None,Male,HR,3,Perplexity,Fast,57
Me,None,Male,HR,3,Perplexity,Fast,42
JM,None,Male,Finance,1,ChatGPT,Slow,15
Me,None,Male,Finance,1,ChatGPT,Slow,40
JM,None,Male,Fraud,1,ChatGPT,Slow,12
Me,None,Male,Fraud,1,ChatGPT,Slow,40
JM,None,Male,HR,1,ChatGPT,Slow,25
Me,None,Male,HR,1,ChatGPT,Slow,38
JM,None,Male,Finance,2,ChatGPT,Slow,15
Me,None,Male,Finance,2,ChatGPT,Slow,60
JM,None,Male,Fraud,2,ChatGPT,Slow,15
Me,None,Male,Fraud,2,ChatGPT,Slow,28
JM,None,Male,HR,2,ChatGPT,Slow,30
Me,None,Male,HR,2,ChatGPT,Slow,35
JM,None,Male,Finance,3,ChatGPT,Slow,15
Me,None,Male,Finance,3,ChatGPT,Slow,65
JM,None,Male,Fraud,3,ChatGPT,Slow,15
Me,None,Male,Fraud,3,ChatGPT,Slow,35
JM,None,Male,HR,3,ChatGPT,Slow,40
Me,None,Male,HR,3,ChatGPT,Slow,35
JM,None,Male,Finance,1,Copilot,Slow,12
Me,None,Male,Finance,1,Copilot,Slow,35
JM,None,Male,Fraud,1,Copilot,Slow,10
Me,None,Male,Fraud,1,Copilot,Slow,20
JM,None,Male,HR,1,Copilot,Slow,25
Me,None,Male,HR,1,Copilot,Slow,28
JM,None,Male,Finance,2,Copilot,Slow,10
Me,None,Male,Finance,2,Copilot,Slow,45
JM,None,Male,Fraud,2,Copilot,Slow,5
Me,None,Male,Fraud,2,Copilot,Slow,25
JM,None,Male,HR,2,Copilot,Slow,25
Me,None,Male,HR,2,Copilot,Slow,20
JM,None,Male,Finance,3,Copilot,Slow,10
Me,None,Male,Finance,3,Copilot,Slow,38
JM,None,Male,Fraud,3,Copilot,Slow,10
Me,None,Male,Fraud,3,Copilot,Slow,25
JM,None,Male,HR,3,Copilot,Slow,25
Me,None,Male,HR,3,Copilot,Slow,30
JM,None,Male,Finance,1,DeepSeek,Slow,5
Me,None,Male,Finance,1,DeepSeek,Slow,58
JM,None,Male,Fraud,1,DeepSeek,Slow,15
Me,None,Male,Fraud,1,DeepSeek,Slow,57
JM,None,Male,HR,1,DeepSeek,Slow,30
Me,None,Male,HR,1,DeepSeek,Slow,35
JM,None,Male,Finance,2,DeepSeek,Slow,10
Me,None,Male,Finance,2,DeepSeek,Slow,78
JM,None,Male,Fraud,2,DeepSeek,Slow,20
Me,None,Male,Fraud,2,DeepSeek,Slow,28
JM,None,Male,HR,2,DeepSeek,Slow,35
Me,None,Male,HR,2,DeepSeek,Slow,58
JM,None,Male,Finance,3,DeepSeek,Slow,5
Me,None,Male,Finance,3,DeepSeek,Slow,68
JM,None,Male,Fraud,3,DeepSeek,Slow,5
Me,None,Male,Fraud,3,DeepSeek,Slow,30
JM,None,Male,HR,3,DeepSeek,Slow,25
Me,None,Male,HR,3,DeepSeek,Slow,32
JM,None,Male,Finance,1,Gemini,Slow,2
Me,None,Male,Finance,1,Gemini,Slow,15
JM,None,Male,Fraud,1,Gemini,Slow,1
Me,None,Male,Fraud,1,Gemini,Slow,12
JM,None,Male,HR,1,Gemini,Slow,2
Me,None,Male,HR,1,Gemini,Slow,45
JM,None,Male,Finance,2,Gemini,Slow,5
Me,None,Male,Finance,2,Gemini,Slow,15
JM,None,Male,Fraud,2,Gemini,Slow,1
Me,None,Male,Fraud,2,Gemini,Slow,4
JM,None,Male,HR,2,Gemini,Slow,15
Me,None,Male,HR,2,Gemini,Slow,7
JM,None,Male,Finance,3,Gemini,Slow,2
Me,None,Male,Finance,3,Gemini,Slow,45
JM,None,Male,Fraud,3,Gemini,Slow,1
Me,None,Male,Fraud,3,Gemini,Slow,15
JM,None,Male,HR,3,Gemini,Slow,5
Me,None,Male,HR,3,Gemini,Slow,8
JM,None,Male,Finance,1,LeChat,Slow,10
Me,None,Male,Finance,1,LeChat,Slow,66
JM,None,Male,Fraud,1,LeChat,Slow,25
Me,None,Male,Fraud,1,LeChat,Slow,85
JM,None,Male,HR,1,LeChat,Slow,50
Me,None,Male,HR,1,LeChat,Slow,65
JM,None,Male,Finance,2,LeChat,Slow,20
Me,None,Male,Finance,2,LeChat,Slow,85
JM,None,Male,Fraud,2,LeChat,Slow,20
Me,None,Male,Fraud,2,LeChat,Slow,75
JM,None,Male,HR,2,LeChat,Slow,40
Me,None,Male,HR,2,LeChat,Slow,65
JM,None,Male,Finance,3,LeChat,Slow,10
Me,None,Male,Finance,3,LeChat,Slow,70
JM,None,Male,Fraud,3,LeChat,Slow,20
Me,None,Male,Fraud,3,LeChat,Slow,85
JM,None,Male,HR,3,LeChat,Slow,45
Me,None,Male,HR,3,LeChat,Slow,50
